window_id,corridor_id,day,available_hours,start_hour
1,COR_02,Tue,6,0
2,COR_05,Fri,7,0
3,COR_09,Wed,5,2
4,COR_10,Thu,7,1
5,COR_08,Sat,7,1
6,COR_05,Tue,5,0
7,COR_03,Tue,8,0
8,COR_10,Wed,6,2
9,COR_01,Wed,3,0
10,COR_09,Mon,8,2
11,COR_02,Mon,2,1
12,COR_07,Mon,4,1
13,COR_09,Sun,7,1
14,COR_04,Sat,3,1
15,COR_07,Fri,6,1
16,COR_08,Mon,6,1
17,COR_04,Thu,7,2
18,COR_09,Thu,8,1
19,COR_07,Fri,7,1
20,COR_01,Mon,3,1
21,COR_02,Wed,5,1
22,COR_04,Wed,6,0
23,COR_08,Wed,5,1
24,COR_02,Fri,5,1
25,COR_08,Sun,3,1
26,COR_09,Thu,6,1
27,COR_05,Thu,7,1
28,COR_05,Fri,8,1
29,COR_06,Thu,3,1
30,COR_01,Wed,7,2
31,COR_01,Tue,3,2
32,COR_06,Sun,6,2
33,COR_10,Fri,8,0
34,COR_07,Sat,6,0
35,COR_06,Sun,6,0
36,COR_10,Sun,7,0
37,COR_05,Fri,3,1
38,COR_10,Sat,5,1
39,COR_01,Tue,8,1
40,COR_01,Mon,7,2
41,COR_02,Tue,5,2
42,COR_01,Fri,2,2
43,COR_07,Thu,5,1
44,COR_10,Sat,7,1
45,COR_03,Fri,5,1
46,COR_09,Mon,2,1
47,COR_08,Mon,7,0
48,COR_08,Wed,5,2
49,COR_03,Fri,8,1
50,COR_08,Sun,7,1
