task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,asset_id,defect_type
1,S&T,COR_10,C,4,4,14,SMMS-ASSET-0001,SIGNAL_DEFECT
2,S&T,COR_02,B,11,5,19,SMMS-ASSET-0002,SIGNAL_DEFECT
3,S&T,COR_07,A,11,3,4,SMMS-ASSET-0003,SIGNAL_DEFECT
4,S&T,COR_04,C,29,4,21,SMMS-ASSET-0004,SIGNAL_DEFECT
5,S&T,COR_05,C,8,2,24,SMMS-ASSET-0005,SIGNAL_DEFECT
6,S&T,COR_03,B,22,6,9,SMMS-ASSET-0006,SIGNAL_DEFECT
7,S&T,COR_01,C,2,1,14,SMMS-ASSET-0007,SIGNAL_DEFECT
8,S&T,COR_08,B,6,6,18,SMMS-ASSET-0008,SIGNAL_DEFECT
9,S&T,COR_06,C,5,1,23,SMMS-ASSET-0009,SIGNAL_DEFECT
10,S&T,COR_05,B,22,3,19,SMMS-ASSET-0010,SIGNAL_DEFECT
11,S&T,COR_02,C,18,5,3,SMMS-ASSET-0011,SIGNAL_DEFECT
12,S&T,COR_08,A,12,2,15,SMMS-ASSET-0012,SIGNAL_DEFECT
13,S&T,COR_02,A,10,5,4,SMMS-ASSET-0013,SIGNAL_DEFECT
14,S&T,COR_02,A,18,3,28,SMMS-ASSET-0014,SIGNAL_DEFECT
15,S&T,COR_10,B,18,5,18,SMMS-ASSET-0015,SIGNAL_DEFECT
16,S&T,COR_03,C,0,3,15,SMMS-ASSET-0016,SIGNAL_DEFECT
17,S&T,COR_05,A,24,2,15,SMMS-ASSET-0017,SIGNAL_DEFECT
18,S&T,COR_07,C,15,2,18,SMMS-ASSET-0018,SIGNAL_DEFECT
19,S&T,COR_06,B,14,7,10,SMMS-ASSET-0019,SIGNAL_DEFECT
20,S&T,COR_06,B,16,2,1,SMMS-ASSET-0020,SIGNAL_DEFECT
21,S&T,COR_04,C,25,4,5,SMMS-ASSET-0021,SIGNAL_DEFECT
22,S&T,COR_04,A,17,5,21,SMMS-ASSET-0022,SIGNAL_DEFECT
23,S&T,COR_02,C,8,6,22,SMMS-ASSET-0023,SIGNAL_DEFECT
24,S&T,COR_10,A,23,5,28,SMMS-ASSET-0024,SIGNAL_DEFECT
25,S&T,COR_10,A,7,1,17,SMMS-ASSET-0025,SIGNAL_DEFECT
26,S&T,COR_06,C,11,4,25,SMMS-ASSET-0026,SIGNAL_DEFECT
27,S&T,COR_10,C,9,5,9,SMMS-ASSET-0027,SIGNAL_DEFECT
28,S&T,COR_07,B,15,7,29,SMMS-ASSET-0028,SIGNAL_DEFECT
29,S&T,COR_02,A,5,3,14,SMMS-ASSET-0029,SIGNAL_DEFECT
30,S&T,COR_10,C,30,1,23,SMMS-ASSET-0030,SIGNAL_DEFECT
