task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,asset_id,defect_type
1,Traction,COR_09,C,27,1,16,TDMS-ASSET-0001,OHE_DEFECT
2,Traction,COR_05,C,9,3,20,TDMS-ASSET-0002,OHE_DEFECT
3,Traction,COR_05,A,11,6,23,TDMS-ASSET-0003,OHE_DEFECT
4,Traction,COR_04,C,8,7,8,TDMS-ASSET-0004,OHE_DEFECT
5,Traction,COR_01,C,3,7,5,TDMS-ASSET-0005,OHE_DEFECT
6,Traction,COR_08,C,5,6,27,TDMS-ASSET-0006,OHE_DEFECT
7,Traction,COR_01,B,6,7,24,TDMS-ASSET-0007,OHE_DEFECT
8,Traction,COR_04,C,30,4,5,TDMS-ASSET-0008,OHE_DEFECT
9,Traction,COR_10,B,0,2,4,TDMS-ASSET-0009,OHE_DEFECT
10,Traction,COR_01,A,21,3,16,TDMS-ASSET-0010,OHE_DEFECT
11,Traction,COR_10,C,21,3,6,TDMS-ASSET-0011,OHE_DEFECT
12,Traction,COR_09,C,24,1,23,TDMS-ASSET-0012,OHE_DEFECT
13,Traction,COR_09,A,4,4,28,TDMS-ASSET-0013,OHE_DEFECT
14,Traction,COR_01,B,12,1,15,TDMS-ASSET-0014,OHE_DEFECT
15,Traction,COR_06,C,20,4,9,TDMS-ASSET-0015,OHE_DEFECT
16,Traction,COR_10,A,28,5,17,TDMS-ASSET-0016,OHE_DEFECT
17,Traction,COR_02,A,19,6,5,TDMS-ASSET-0017,OHE_DEFECT
18,Traction,COR_08,C,12,2,18,TDMS-ASSET-0018,OHE_DEFECT
19,Traction,COR_02,C,28,4,15,TDMS-ASSET-0019,OHE_DEFECT
20,Traction,COR_07,A,24,5,4,TDMS-ASSET-0020,OHE_DEFECT
21,Traction,COR_03,C,25,4,7,TDMS-ASSET-0021,OHE_DEFECT
22,Traction,COR_04,C,16,7,27,TDMS-ASSET-0022,OHE_DEFECT
23,Traction,COR_08,B,18,1,12,TDMS-ASSET-0023,OHE_DEFECT
24,Traction,COR_10,C,13,7,27,TDMS-ASSET-0024,OHE_DEFECT
25,Traction,COR_03,B,14,2,8,TDMS-ASSET-0025,OHE_DEFECT
26,Traction,COR_10,C,23,7,4,TDMS-ASSET-0026,OHE_DEFECT
27,Traction,COR_09,C,2,3,5,TDMS-ASSET-0027,OHE_DEFECT
28,Traction,COR_02,B,25,7,5,TDMS-ASSET-0028,OHE_DEFECT
29,Traction,COR_10,A,28,2,9,TDMS-ASSET-0029,OHE_DEFECT
30,Traction,COR_06,A,4,4,1,TDMS-ASSET-0030,OHE_DEFECT
