task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,asset_id,defect_type
1,Engineering,COR_01,B,23,4,26,TMS-ASSET-0001,TRACK_DEFECT
2,Engineering,COR_01,A,21,4,30,TMS-ASSET-0002,TRACK_DEFECT
3,Engineering,COR_08,C,23,4,4,TMS-ASSET-0003,TRACK_DEFECT
4,Engineering,COR_09,B,13,2,28,TMS-ASSET-0004,TRACK_DEFECT
5,Engineering,COR_08,C,19,4,14,TMS-ASSET-0005,TRACK_DEFECT
6,Engineering,COR_05,C,7,7,2,TMS-ASSET-0006,TRACK_DEFECT
7,Engineering,COR_09,C,25,2,23,TMS-ASSET-0007,TRACK_DEFECT
8,Engineering,COR_08,C,10,4,27,TMS-ASSET-0008,TRACK_DEFECT
9,Engineering,COR_07,A,24,3,15,TMS-ASSET-0009,TRACK_DEFECT
10,Engineering,COR_05,A,1,6,21,TMS-ASSET-0010,TRACK_DEFECT
11,Engineering,COR_10,C,23,3,10,TMS-ASSET-0011,TRACK_DEFECT
12,Engineering,COR_10,B,11,6,6,TMS-ASSET-0012,TRACK_DEFECT
13,Engineering,COR_05,B,4,3,7,TMS-ASSET-0013,TRACK_DEFECT
14,Engineering,COR_06,B,20,2,25,TMS-ASSET-0014,TRACK_DEFECT
15,Engineering,COR_07,B,21,6,25,TMS-ASSET-0015,TRACK_DEFECT
16,Engineering,COR_05,B,24,7,9,TMS-ASSET-0016,TRACK_DEFECT
17,Engineering,COR_03,A,21,6,6,TMS-ASSET-0017,TRACK_DEFECT
18,Engineering,COR_09,C,0,6,20,TMS-ASSET-0018,TRACK_DEFECT
19,Engineering,COR_05,C,21,4,14,TMS-ASSET-0019,TRACK_DEFECT
20,Engineering,COR_06,A,17,2,4,TMS-ASSET-0020,TRACK_DEFECT
21,Engineering,COR_05,B,20,6,17,TMS-ASSET-0021,TRACK_DEFECT
22,Engineering,COR_01,C,23,4,17,TMS-ASSET-0022,TRACK_DEFECT
23,Engineering,COR_01,B,17,5,1,TMS-ASSET-0023,TRACK_DEFECT
24,Engineering,COR_04,B,13,2,13,TMS-ASSET-0024,TRACK_DEFECT
25,Engineering,COR_10,B,26,6,2,TMS-ASSET-0025,TRACK_DEFECT
26,Engineering,COR_09,B,8,4,20,TMS-ASSET-0026,TRACK_DEFECT
27,Engineering,COR_02,C,17,7,20,TMS-ASSET-0027,TRACK_DEFECT
28,Engineering,COR_05,C,12,3,6,TMS-ASSET-0028,TRACK_DEFECT
29,Engineering,COR_04,A,0,6,22,TMS-ASSET-0029,TRACK_DEFECT
30,Engineering,COR_07,A,14,7,16,TMS-ASSET-0030,TRACK_DEFECT
