task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,actual_risk_score
1,S&T,COR_03,A,23,1,13,76.79
2,Engineering,COR_03,C,25,4,17,41.67
3,S&T,COR_05,B,18,7,9,54.84
4,S&T,COR_04,C,4,4,8,21.59
5,Engineering,COR_02,C,6,4,20,18.94
6,Engineering,COR_04,C,20,7,26,39.97
7,S&T,COR_04,A,7,2,27,47.84
8,Traction,COR_03,B,27,6,21,71.33
9,S&T,COR_04,A,4,3,18,47.35
10,S&T,COR_01,C,16,1,13,40.75
11,S&T,COR_03,C,4,5,16,12.71
12,S&T,COR_01,C,3,7,9,12.36
13,Engineering,COR_02,B,21,6,12,55.93
14,S&T,COR_03,C,18,7,12,37.48
15,Traction,COR_02,C,26,3,6,43.25
16,Engineering,COR_03,B,20,2,19,50.65
17,Traction,COR_05,C,1,7,28,18.67
18,Traction,COR_04,B,10,3,7,39.59
19,Traction,COR_05,B,21,3,25,53.13
20,Traction,COR_02,C,12,2,3,31.02
21,Engineering,COR_04,B,14,4,16,49.6
22,Engineering,COR_03,C,11,4,18,26.92
23,Traction,COR_04,C,21,1,16,39.67
24,Traction,COR_01,C,20,1,23,41.7
25,Engineering,COR_04,B,21,4,7,50.17
26,Engineering,COR_01,C,10,6,4,22.63
27,Engineering,COR_04,C,6,5,27,11.67
28,S&T,COR_01,C,27,3,25,52.83
29,S&T,COR_02,B,4,5,8,20.0
30,S&T,COR_05,A,16,3,13,73.69
31,Traction,COR_03,C,23,4,13,39.99
32,S&T,COR_04,A,19,1,17,72.65
33,Traction,COR_05,C,8,6,17,19.35
34,Traction,COR_03,C,13,1,5,25.4
35,S&T,COR_03,C,25,5,6,49.19
36,Traction,COR_01,C,11,1,19,15.43
37,S&T,COR_02,C,5,4,13,23.11
38,S&T,COR_02,C,16,6,25,35.75
39,Engineering,COR_05,C,18,5,28,32.08
40,S&T,COR_02,C,18,6,26,32.31
41,Engineering,COR_04,A,25,3,14,92.26
42,S&T,COR_02,A,15,1,22,62.44
43,S&T,COR_05,C,11,6,4,18.7
44,Engineering,COR_02,B,11,2,28,46.78
45,Engineering,COR_04,B,19,1,7,52.31
46,S&T,COR_01,B,5,3,8,24.37
47,Traction,COR_05,C,22,6,25,43.22
48,Engineering,COR_01,C,25,5,13,39.56
49,Traction,COR_01,C,3,3,27,22.14
50,Traction,COR_01,C,5,2,6,20.9
51,Traction,COR_03,C,10,6,6,25.22
52,Engineering,COR_03,B,0,7,24,25.0
53,Traction,COR_01,C,29,7,28,59.97
54,Engineering,COR_05,A,23,4,21,82.13
55,Traction,COR_04,C,22,1,3,33.08
56,S&T,COR_04,C,14,5,28,34.11
57,S&T,COR_02,B,26,4,3,70.59
58,Engineering,COR_05,A,10,6,13,50.74
59,S&T,COR_03,B,24,7,22,59.87
60,S&T,COR_01,A,18,7,2,70.81
61,Traction,COR_02,A,17,7,16,69.25
62,Engineering,COR_04,C,16,6,22,29.34
63,Traction,COR_03,C,18,7,29,42.62
64,Traction,COR_03,C,20,3,6,46.53
65,Traction,COR_01,C,13,6,8,28.09
66,Traction,COR_04,C,26,5,23,43.22
67,Traction,COR_05,C,17,4,8,25.66
68,Traction,COR_03,A,27,5,25,91.83
69,Traction,COR_01,C,18,2,6,38.45
70,Engineering,COR_05,B,14,7,14,46.15
71,S&T,COR_04,C,14,2,3,27.65
72,Traction,COR_03,C,3,1,10,11.6
73,Traction,COR_05,C,6,1,3,12.12
74,Traction,COR_05,A,12,2,27,65.38
75,Traction,COR_05,C,2,6,12,17.31
76,Traction,COR_03,C,15,5,17,24.61
77,Traction,COR_03,A,8,2,27,60.9
78,S&T,COR_02,B,7,1,29,38.05
79,S&T,COR_04,C,19,2,5,40.92
80,Traction,COR_01,A,12,6,20,54.44
81,S&T,COR_05,C,16,2,25,28.17
82,Engineering,COR_02,B,16,5,9,45.69
83,Traction,COR_01,A,16,4,21,70.66
84,Engineering,COR_02,C,0,6,26,21.06
85,Engineering,COR_03,B,7,1,20,37.03
86,Traction,COR_05,C,18,5,7,32.63
87,S&T,COR_01,A,5,2,22,42.49
88,Engineering,COR_01,A,2,2,4,43.46
89,Traction,COR_01,C,26,4,13,41.17
90,Engineering,COR_01,C,4,1,13,23.33
91,Engineering,COR_01,C,12,1,10,24.97
92,Engineering,COR_02,C,14,3,18,37.41
93,Engineering,COR_05,C,13,1,17,31.84
94,S&T,COR_03,A,28,4,20,91.14
95,Engineering,COR_03,B,22,7,20,55.61
96,Engineering,COR_03,C,15,3,13,29.26
97,Engineering,COR_03,C,17,3,17,36.06
98,S&T,COR_02,C,21,2,22,40.73
99,Engineering,COR_04,B,28,2,4,62.04
100,Engineering,COR_05,B,21,1,1,52.2
101,S&T,COR_01,C,10,3,1,22.31
102,S&T,COR_04,C,2,2,15,4.3
103,S&T,COR_03,C,21,4,13,40.82
104,Engineering,COR_04,C,9,2,17,19.11
105,S&T,COR_05,C,9,6,24,19.59
106,S&T,COR_01,A,29,6,26,87.26
107,Engineering,COR_01,B,20,2,8,44.6
108,S&T,COR_05,A,15,3,18,59.9
109,Engineering,COR_05,B,11,7,27,38.39
110,Traction,COR_03,C,1,7,13,20.77
111,S&T,COR_01,B,8,3,23,33.68
112,Traction,COR_04,C,23,5,14,42.42
113,Engineering,COR_02,A,2,7,8,40.48
114,S&T,COR_02,B,23,6,8,57.97
115,Engineering,COR_05,B,29,4,27,70.04
116,Traction,COR_03,B,24,3,26,56.87
117,Engineering,COR_02,C,29,1,15,56.28
118,S&T,COR_01,B,14,6,27,54.39
119,S&T,COR_05,C,2,4,13,5.93
120,Traction,COR_04,A,18,4,7,65.29
121,Engineering,COR_05,A,17,3,5,66.29
122,S&T,COR_04,B,7,4,17,29.06
123,Traction,COR_05,C,25,3,28,49.05
124,S&T,COR_05,C,16,7,25,31.0
125,S&T,COR_05,B,7,2,29,45.13
126,Engineering,COR_04,B,6,6,16,36.87
127,S&T,COR_04,C,29,5,23,52.19
128,Engineering,COR_05,A,6,2,2,50.03
129,S&T,COR_02,B,2,6,22,31.16
130,Traction,COR_03,C,0,3,18,9.13
131,S&T,COR_03,C,3,6,17,11.83
132,Engineering,COR_03,B,24,7,7,59.16
133,Engineering,COR_04,C,4,3,13,19.92
134,Traction,COR_04,C,0,2,18,12.26
135,S&T,COR_02,B,14,1,29,39.69
136,S&T,COR_03,C,4,1,14,12.69
137,Traction,COR_03,C,12,6,18,27.33
138,S&T,COR_05,B,7,1,13,32.31
139,S&T,COR_04,B,7,3,11,41.07
140,Engineering,COR_03,B,4,4,21,23.09
141,S&T,COR_02,C,27,3,21,50.47
142,S&T,COR_02,B,8,4,16,41.41
143,Traction,COR_03,C,0,2,23,22.64
144,Traction,COR_04,C,3,5,17,13.66
145,Engineering,COR_02,A,2,4,8,40.88
146,S&T,COR_05,C,1,1,19,15.69
147,S&T,COR_02,B,7,3,20,34.76
148,S&T,COR_01,C,22,2,15,40.04
149,Engineering,COR_01,C,8,1,9,22.66
150,Engineering,COR_04,B,1,2,20,13.01
151,Traction,COR_03,B,13,5,10,44.76
152,Engineering,COR_04,A,13,7,12,61.51
153,S&T,COR_04,A,3,3,21,41.98
154,S&T,COR_04,B,29,6,23,78.78
155,Engineering,COR_04,B,5,3,20,27.68
156,S&T,COR_05,C,10,5,1,20.17
157,S&T,COR_05,B,2,3,25,35.63
158,Engineering,COR_02,B,7,6,20,30.19
159,Engineering,COR_01,C,2,4,9,10.26
160,S&T,COR_04,A,13,2,22,62.07
161,S&T,COR_02,C,27,6,15,50.89
162,S&T,COR_01,C,12,1,1,25.56
163,Traction,COR_03,C,12,5,12,20.84
164,Traction,COR_05,A,1,4,3,33.48
