task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years
1,Traction,COR_03,B,27,7,1
2,Traction,COR_04,A,15,1,3
3,S&T,COR_01,C,5,2,26
4,Traction,COR_05,C,13,3,7
5,Traction,COR_03,C,20,1,26
6,S&T,COR_04,C,0,7,15
7,S&T,COR_01,A,24,2,19
8,Engineering,COR_05,A,8,3,20
9,S&T,COR_04,A,24,4,2
10,Engineering,COR_05,B,26,3,19
11,Traction,COR_03,A,23,5,9
12,S&T,COR_01,B,12,3,19
13,S&T,COR_04,B,25,5,27
14,S&T,COR_01,C,28,2,5
15,Traction,COR_03,C,18,3,18
16,Engineering,COR_01,C,16,2,16
17,Traction,COR_01,C,10,2,4
18,Traction,COR_02,A,27,7,12
19,S&T,COR_01,C,27,1,29
20,Engineering,COR_05,B,7,2,7
21,Traction,COR_04,C,22,2,14
22,S&T,COR_02,B,28,7,23
23,Traction,COR_04,C,4,7,12
24,Traction,COR_04,B,9,3,3
25,S&T,COR_03,B,6,7,5
26,S&T,COR_03,C,9,3,17
27,Engineering,COR_02,A,3,4,26
28,Traction,COR_03,C,8,7,10
29,S&T,COR_03,C,26,1,10
30,S&T,COR_03,C,25,2,11
31,Engineering,COR_04,C,13,1,17
32,Engineering,COR_02,C,1,5,5
33,S&T,COR_04,A,24,7,13
34,Engineering,COR_05,C,8,2,10
35,S&T,COR_04,C,20,1,9
36,Traction,COR_05,C,26,7,17
37,Engineering,COR_01,A,0,7,1
38,Traction,COR_01,C,22,4,4
39,Traction,COR_05,C,9,4,4
40,Traction,COR_05,C,9,2,18
41,S&T,COR_04,B,19,5,9
42,Traction,COR_05,A,24,4,25
43,Traction,COR_02,B,21,4,29
44,Traction,COR_01,C,28,5,29
45,S&T,COR_01,C,2,1,18
46,Traction,COR_05,B,5,4,14
47,Traction,COR_03,A,28,3,25
48,Engineering,COR_03,B,25,6,15
49,S&T,COR_05,B,5,6,6
50,Traction,COR_02,C,20,4,24
51,Engineering,COR_03,C,1,1,10
52,S&T,COR_05,B,25,7,29
53,S&T,COR_02,C,25,1,15
54,S&T,COR_02,A,17,2,29
55,S&T,COR_04,C,22,3,4
56,S&T,COR_02,B,1,1,18
57,S&T,COR_03,B,11,5,18
58,Traction,COR_03,B,21,3,25
59,Traction,COR_05,C,4,6,17
60,Traction,COR_05,C,19,3,12
61,Traction,COR_02,C,6,5,7
62,Engineering,COR_01,B,23,4,16
63,Traction,COR_04,B,15,5,11
64,S&T,COR_01,A,19,5,14
65,Traction,COR_02,C,0,4,3
66,Traction,COR_02,A,0,4,19
67,S&T,COR_01,C,16,4,18
68,Traction,COR_04,C,26,4,10
69,Traction,COR_01,C,0,4,6
70,Traction,COR_05,B,20,5,13
71,Engineering,COR_03,B,19,2,10
72,Traction,COR_05,A,12,2,18
73,S&T,COR_03,C,29,1,26
74,S&T,COR_02,C,8,2,20
75,Traction,COR_04,B,14,6,26
76,Traction,COR_01,B,2,2,16
77,Traction,COR_04,C,13,5,25
78,S&T,COR_01,C,22,4,25
79,S&T,COR_05,B,10,4,6
80,Engineering,COR_05,C,23,7,13
81,Engineering,COR_01,A,21,7,4
82,Engineering,COR_04,A,11,7,23
83,S&T,COR_01,C,12,5,14
84,Engineering,COR_02,C,25,6,1
85,Traction,COR_05,C,12,2,28
86,Traction,COR_02,A,0,5,20
87,S&T,COR_05,C,23,1,5
88,Engineering,COR_05,B,9,4,8
89,Traction,COR_03,B,2,7,12
90,S&T,COR_02,C,23,3,2
91,Engineering,COR_02,A,27,1,12
92,Traction,COR_03,C,3,7,5
93,Engineering,COR_04,C,15,6,22
94,S&T,COR_02,A,7,1,5
95,Engineering,COR_01,A,15,5,13
96,S&T,COR_03,A,26,2,9
97,Engineering,COR_02,A,16,4,10
98,Traction,COR_04,C,18,6,1
99,S&T,COR_02,C,21,6,3
100,S&T,COR_05,A,14,3,18
