task_id,department,corridor_id,defect_severity,days_overdue,estimated_hours,asset_age_years,severity_numeric,criticality_score
18,Traction,COR_02,A,27,7,12,3,100.0
47,Traction,COR_03,A,28,3,25,3,98.1
96,S&T,COR_03,A,26,2,9,3,96.02
91,Engineering,COR_02,A,27,1,12,3,95.48
42,Traction,COR_05,A,24,4,25,3,91.05
7,S&T,COR_01,A,24,2,19,3,90.95
33,S&T,COR_04,A,24,7,13,3,89.35
11,Traction,COR_03,A,23,5,9,3,85.66
9,S&T,COR_04,A,24,4,2,3,83.98
81,Engineering,COR_01,A,21,7,4,3,82.88
64,S&T,COR_01,A,19,5,14,3,78.71
54,S&T,COR_02,A,17,2,29,3,74.47
22,S&T,COR_02,B,28,7,23,2,73.25
97,Engineering,COR_02,A,16,4,10,3,72.53
1,Traction,COR_03,B,27,7,1,2,69.2
52,S&T,COR_05,B,25,7,29,2,67.74
10,Engineering,COR_05,B,26,3,19,2,67.23
100,S&T,COR_05,A,14,3,18,3,66.57
95,Engineering,COR_01,A,15,5,13,3,66.09
13,S&T,COR_04,B,25,5,27,2,65.76
48,Engineering,COR_03,B,25,6,15,2,64.94
2,Traction,COR_04,A,15,1,3,3,61.65
72,Traction,COR_05,A,12,2,18,3,59.87
82,Engineering,COR_04,A,11,7,23,3,59.57
62,Engineering,COR_01,B,23,4,16,2,58.22
43,Traction,COR_02,B,21,4,29,2,57.37
58,Traction,COR_03,B,21,3,25,2,55.82
44,Traction,COR_01,C,28,5,29,1,53.33
19,S&T,COR_01,C,27,1,29,1,52.79
70,Traction,COR_05,B,20,5,13,2,52.23
8,Engineering,COR_05,A,8,3,20,3,52.19
73,S&T,COR_03,C,29,1,26,1,50.69
41,S&T,COR_04,B,19,5,9,2,49.93
71,Engineering,COR_03,B,19,2,10,2,48.67
14,S&T,COR_01,C,28,2,5,1,48.34
29,S&T,COR_03,C,26,1,10,1,48.15
30,S&T,COR_03,C,25,2,11,1,46.78
53,S&T,COR_02,C,25,1,15,1,46.63
94,S&T,COR_02,A,7,1,5,3,45.91
75,Traction,COR_04,B,14,6,26,2,45.88
63,Traction,COR_04,B,15,5,11,2,45.02
36,Traction,COR_05,C,26,7,17,1,42.74
27,Engineering,COR_02,A,3,4,26,3,42.63
68,Traction,COR_04,C,26,4,10,1,42.05
5,Traction,COR_03,C,20,1,26,1,40.61
78,S&T,COR_01,C,22,4,25,1,40.42
87,S&T,COR_05,C,23,1,5,1,40.37
84,Engineering,COR_02,C,25,6,1,1,40.2
12,S&T,COR_01,B,12,3,19,2,39.51
80,Engineering,COR_05,C,23,7,13,1,39.43
21,Traction,COR_04,C,22,2,14,1,39.26
50,Traction,COR_02,C,20,4,24,1,39.23
55,S&T,COR_04,C,22,3,4,1,39.13
90,S&T,COR_02,C,23,3,2,1,38.99
37,Engineering,COR_01,A,0,7,1,3,38.54
35,S&T,COR_04,C,20,1,9,1,38.35
38,Traction,COR_01,C,22,4,4,1,37.22
99,S&T,COR_02,C,21,6,3,1,37.08
57,S&T,COR_03,B,11,5,18,2,36.77
79,S&T,COR_05,B,10,4,6,2,35.42
88,Engineering,COR_05,B,9,4,8,2,35.32
24,Traction,COR_04,B,9,3,3,2,35.14
66,Traction,COR_02,A,0,4,19,3,35.09
86,Traction,COR_02,A,0,5,20,3,34.63
15,Traction,COR_03,C,18,3,18,1,33.38
60,Traction,COR_05,C,19,3,12,1,32.87
98,Traction,COR_04,C,18,6,1,1,31.27
16,Engineering,COR_01,C,16,2,16,1,30.43
20,Engineering,COR_05,B,7,2,7,2,30.32
67,S&T,COR_01,C,16,4,18,1,29.82
77,Traction,COR_04,C,13,5,25,1,29.2
93,Engineering,COR_04,C,15,6,22,1,28.87
25,S&T,COR_03,B,6,7,5,2,28.4
31,Engineering,COR_04,C,13,1,17,1,28.1
85,Traction,COR_05,C,12,2,28,1,27.97
4,Traction,COR_05,C,13,3,7,1,26.28
46,Traction,COR_05,B,5,4,14,2,26.26
49,S&T,COR_05,B,5,6,6,2,23.53
56,S&T,COR_02,B,1,1,18,2,22.15
83,S&T,COR_01,C,12,5,14,1,22.08
89,Traction,COR_03,B,2,7,12,2,21.04
76,Traction,COR_01,B,2,2,16,2,20.26
40,Traction,COR_05,C,9,2,18,1,18.83
74,S&T,COR_02,C,8,2,20,1,18.79
26,S&T,COR_03,C,9,3,17,1,18.41
17,Traction,COR_01,C,10,2,4,1,17.26
34,Engineering,COR_05,C,8,2,10,1,17.09
28,Traction,COR_03,C,8,7,10,1,16.92
39,Traction,COR_05,C,9,4,4,1,16.32
3,S&T,COR_01,C,5,2,26,1,15.71
23,Traction,COR_04,C,4,7,12,1,12.63
59,Traction,COR_05,C,4,6,17,1,11.98
61,Traction,COR_02,C,6,5,7,1,11.91
45,S&T,COR_01,C,2,1,18,1,7.79
92,Traction,COR_03,C,3,7,5,1,7.0
51,Engineering,COR_03,C,1,1,10,1,6.58
32,Engineering,COR_02,C,1,5,5,1,3.49
6,S&T,COR_04,C,0,7,15,1,3.19
69,Traction,COR_01,C,0,4,6,1,1.3
65,Traction,COR_02,C,0,4,3,1,0.0
