task_id,department,corridor_id,day,window_id,estimated_hours,criticality_score,defect_severity,is_bundled,bundled_with
18,Traction,COR_02,Wed,33.0,7,100.0,A,True,S&T
47,Traction,COR_03,Sun,16.0,3,98.1,A,True,S&T
96,S&T,COR_03,Wed,31.0,2,96.02,A,False,
91,Engineering,COR_02,Sun,30.0,1,95.48,A,True,S&T
42,Traction,COR_05,Sat,36.0,4,91.05,A,True,Engineering
7,S&T,COR_01,Tue,39.0,2,90.95,A,True,Traction
33,S&T,COR_04,Thu,42.0,7,89.35,A,False,
11,Traction,COR_03,Sat,10.0,5,85.66,A,True,Engineering
9,S&T,COR_04,Sun,22.0,4,83.98,A,False,
81,Engineering,COR_01,Mon,44.0,7,82.88,A,True,S&T
64,S&T,COR_01,Fri,17.0,5,78.71,A,False,
54,S&T,COR_02,Thu,9.0,2,74.47,A,True,Traction
22,S&T,COR_02,Sun,30.0,7,73.25,B,True,Engineering
97,Engineering,COR_02,Fri,28.0,4,72.53,A,True,"Traction,S&T"
1,Traction,COR_03,Tue,3.0,7,69.2,B,True,S&T
52,S&T,COR_05,UNSCHEDULED,,7,67.74,B,False,
10,Engineering,COR_05,Sat,36.0,3,67.23,B,True,Traction
100,S&T,COR_05,Fri,40.0,3,66.57,A,True,Engineering
95,Engineering,COR_01,Fri,5.0,5,66.09,A,True,S&T
13,S&T,COR_04,Wed,29.0,5,65.76,B,False,
48,Engineering,COR_03,Sat,13.0,6,64.94,B,False,
2,Traction,COR_04,Fri,11.0,1,61.65,A,True,Engineering
72,Traction,COR_05,Thu,25.0,2,59.87,A,True,Engineering
82,Engineering,COR_04,Sun,1.0,7,59.57,A,True,S&T
62,Engineering,COR_01,Tue,20.0,4,58.22,B,True,"Traction,S&T"
43,Traction,COR_02,Thu,9.0,4,57.37,B,True,S&T
58,Traction,COR_03,Sun,41.0,3,55.82,B,False,
44,Traction,COR_01,Tue,39.0,5,53.33,C,True,S&T
19,S&T,COR_01,Sun,32.0,1,52.79,C,True,Engineering
70,Traction,COR_05,Tue,14.0,5,52.23,B,True,Engineering
8,Engineering,COR_05,Fri,40.0,3,52.19,A,True,S&T
73,S&T,COR_03,Wed,37.0,1,50.69,C,True,Engineering
41,S&T,COR_04,Wed,15.0,5,49.93,B,True,Traction
71,Engineering,COR_03,Wed,37.0,2,48.67,B,True,S&T
14,S&T,COR_01,Mon,44.0,2,48.34,C,True,Engineering
29,S&T,COR_03,Wed,35.0,1,48.15,C,True,Traction
30,S&T,COR_03,Tue,3.0,2,46.78,C,True,Traction
53,S&T,COR_02,Fri,28.0,1,46.63,C,True,"Engineering,Traction"
94,S&T,COR_02,Sat,8.0,1,45.91,A,True,Traction
75,Traction,COR_04,Mon,48.0,6,45.88,B,True,S&T
63,Traction,COR_04,UNSCHEDULED,,5,45.02,B,False,
36,Traction,COR_05,UNSCHEDULED,,7,42.74,C,False,
27,Engineering,COR_02,Tue,4.0,4,42.63,A,True,S&T
68,Traction,COR_04,Fri,46.0,4,42.05,C,False,
5,Traction,COR_03,Wed,35.0,1,40.61,C,True,S&T
78,S&T,COR_01,Fri,5.0,4,40.42,C,True,Engineering
87,S&T,COR_05,Thu,6.0,1,40.37,C,True,"Engineering,Traction"
84,Engineering,COR_02,UNSCHEDULED,,6,40.2,C,False,
12,S&T,COR_01,Wed,12.0,3,39.51,B,False,
80,Engineering,COR_05,UNSCHEDULED,,7,39.43,C,False,
21,Traction,COR_04,Mon,21.0,2,39.26,C,False,
50,Traction,COR_02,Fri,28.0,4,39.23,C,True,"Engineering,S&T"
55,S&T,COR_04,Mon,48.0,3,39.13,C,True,Traction
90,S&T,COR_02,Mon,43.0,3,38.99,C,False,
37,Engineering,COR_01,UNSCHEDULED,,7,38.54,A,False,
35,S&T,COR_04,Sun,1.0,1,38.35,C,True,Engineering
38,Traction,COR_01,UNSCHEDULED,,4,37.22,C,False,
99,S&T,COR_02,UNSCHEDULED,,6,37.08,C,False,
57,S&T,COR_03,UNSCHEDULED,,5,36.77,B,False,
79,S&T,COR_05,Mon,26.0,4,35.42,B,True,Traction
88,Engineering,COR_05,Thu,25.0,4,35.32,B,True,Traction
24,Traction,COR_04,Wed,15.0,3,35.14,B,True,S&T
66,Traction,COR_02,Sat,8.0,4,35.09,A,True,S&T
86,Traction,COR_02,Sun,49.0,5,34.63,A,False,
15,Traction,COR_03,Sun,50.0,3,33.38,C,False,
60,Traction,COR_05,Mon,26.0,3,32.87,C,True,S&T
98,Traction,COR_04,UNSCHEDULED,,6,31.27,C,False,
16,Engineering,COR_01,Sun,32.0,2,30.43,C,True,S&T
20,Engineering,COR_05,Thu,6.0,2,30.32,B,True,"Traction,S&T"
67,S&T,COR_01,UNSCHEDULED,,4,29.82,C,False,
77,Traction,COR_04,UNSCHEDULED,,5,29.2,C,False,
93,Engineering,COR_04,UNSCHEDULED,,6,28.87,C,False,
25,S&T,COR_03,UNSCHEDULED,,7,28.4,B,False,
31,Engineering,COR_04,Fri,11.0,1,28.1,C,True,Traction
85,Traction,COR_05,Thu,6.0,2,27.97,C,True,"Engineering,S&T"
4,Traction,COR_05,Tue,2.0,3,26.28,C,False,
46,Traction,COR_05,Sat,19.0,4,26.26,B,False,
49,S&T,COR_05,UNSCHEDULED,,6,23.53,B,False,
56,S&T,COR_02,Tue,4.0,1,22.15,B,True,Engineering
83,S&T,COR_01,UNSCHEDULED,,5,22.08,C,False,
89,Traction,COR_03,UNSCHEDULED,,7,21.04,B,False,
76,Traction,COR_01,Thu,7.0,2,20.26,B,True,S&T
40,Traction,COR_05,Tue,34.0,2,18.83,C,False,
74,S&T,COR_02,Wed,33.0,2,18.79,C,True,Traction
26,S&T,COR_03,Sun,16.0,3,18.41,C,True,Traction
17,Traction,COR_01,Tue,20.0,2,17.26,C,True,"Engineering,S&T"
34,Engineering,COR_05,Tue,14.0,2,17.09,C,True,Traction
28,Traction,COR_03,UNSCHEDULED,,7,16.92,C,False,
39,Traction,COR_05,UNSCHEDULED,,4,16.32,C,False,
3,S&T,COR_01,Tue,20.0,2,15.71,C,True,"Engineering,Traction"
23,Traction,COR_04,UNSCHEDULED,,7,12.63,C,False,
59,Traction,COR_05,UNSCHEDULED,,6,11.98,C,False,
61,Traction,COR_02,UNSCHEDULED,,5,11.91,C,False,
45,S&T,COR_01,Thu,7.0,1,7.79,C,True,Traction
92,Traction,COR_03,UNSCHEDULED,,7,7.0,C,False,
51,Engineering,COR_03,Sat,10.0,1,6.58,C,True,Traction
32,Engineering,COR_02,UNSCHEDULED,,5,3.49,C,False,
6,S&T,COR_04,UNSCHEDULED,,7,3.19,C,False,
69,Traction,COR_01,UNSCHEDULED,,4,1.3,C,False,
65,Traction,COR_02,UNSCHEDULED,,4,0.0,C,False,
