window_id,corridor_id,day,available_hours
1,COR_04,Sun,8
2,COR_05,Tue,3
3,COR_03,Tue,9
4,COR_02,Tue,5
5,COR_01,Fri,9
6,COR_05,Thu,6
7,COR_01,Thu,3
8,COR_02,Sat,5
9,COR_02,Thu,6
10,COR_03,Sat,6
11,COR_04,Fri,2
12,COR_01,Wed,3
13,COR_03,Sat,6
14,COR_05,Tue,7
15,COR_04,Wed,8
16,COR_03,Sun,6
17,COR_01,Fri,5
18,COR_02,Thu,2
19,COR_05,Sat,4
20,COR_01,Tue,8
21,COR_04,Mon,2
22,COR_04,Sun,4
23,COR_02,Mon,3
24,COR_02,Wed,3
25,COR_05,Thu,6
26,COR_05,Mon,7
27,COR_02,Wed,3
28,COR_02,Fri,9
29,COR_04,Wed,6
30,COR_02,Sun,8
31,COR_03,Wed,2
32,COR_01,Sun,3
33,COR_02,Wed,9
34,COR_05,Tue,2
35,COR_03,Wed,2
36,COR_05,Sat,7
37,COR_03,Wed,3
38,COR_02,Tue,2
39,COR_01,Tue,7
40,COR_05,Fri,7
41,COR_03,Sun,3
42,COR_04,Thu,7
43,COR_02,Mon,3
44,COR_01,Mon,9
45,COR_02,Wed,3
46,COR_04,Fri,4
47,COR_01,Wed,2
48,COR_04,Mon,9
49,COR_02,Sun,5
50,COR_03,Sun,3
